02-12-2024,Monday,II English,I Arabic I Comp. Sc. I English Lit. I Persian I Principles of Econ. I Punjabi
03-12-2024,Tuesday,II Arabic II Comp. Sc. II English Lit. II French II Principles of Banking II Punjabi II Urdu Adv. II Urdu Advance,I English
04-12-2024,Wednesday,II Business Math II Fine Arts II Geog II Islamiyat Elective,I Biology I H. & P. Edu. I Math
05-12-2024,Thursday,II Biology II H. & P. Edu.,I Business Math I Fine Arts I Geog I Islamiyat Elective
06-12-2024,Friday,II Math,I History of Pakistan I History of Muslim India
09-12-2024,Monday,II Pak. St.,I Econ I Principles of Comm.
10-12-2024,Tuesday,II Comm. Geo. II Economics,I Isl Std. I Ethics
11-12-2024,Wednesday,II History of Muslim India II History of Pakistan II Statistics,I Chem I Psy
12-12-2024,Thursday,II Physics II Civics II Persian,I Stat
13-12-2024,Friday,II Pakistan Culture II Urdu,I Edu I Phil. I Princ. of Account.
16-12-2024,Monday,II Edu II Phil. II Princ. of Account.,I Pak Culture I Urdu
17-12-2024,Tuesday,II Chem II Psy,I Civics I French I Physics I Urdu Advance I Urdu Adv.
18-12-2024,Wednesday,II Al Quran,I Al Quran
